Gene	Time
KCNB1	46
PARK2	46
SHH	46
NHE9	45
GAD67	45
receptor tyrosine kinase	45
CNTN4	45
Shank3B	45
Pvalb	45
GluD1	45
IMMP2L	44
GLO1	44
APOE	44
JNK	43
AR	43
CP	43
Mef2c	43
CDH13	42
SCN8A	42
Fragile X mental retardation protein	42
GluA1	42
CaM	42
CSBS	42
CHD7	42
GSK3	42
hamartin	41
ACTH	41
FRalpha	41
GSK3beta	41
ST8SIA2	41
EBP	41
STAT3	41
catalase	41
Bcl-2	41
dystrophin	41
NRG1	41
GluN2A	40
Cacna1c	40
IL-17	40
NCAM2	40
MIF	40
methyl-CpG binding protein 2	40
VEGF	40
ABO	40
KCNQ3	40
HLA-G	40
Nbea	39
CACNA1D	39
reln	39
SYN1	39
Parvalbumin	39
Bdnf	39
GR	39
DSCAM	39
ASP	38
Rai1	38
HMGB1	38
CREBBP	38
tumor necrosis factor-alpha	38
SEMA5A	38
MTOR	38
GRIN2A	38
gephyrin	38
Tshz3	38
CADM1	37
NL1	37
Gtf2i	37
Foxp3	37
SCAMP5	37
KIAA2022	37
Cav1.3	37
GSK-3beta	36
PEP	36
PGC-1alpha	36
mGluR1	36
CaV1.2	36
S6K1	36
myelin basic protein	36
CD8	36
ASXL3	36
5-HT1A	35
MEF2	35
Kirrel3	35
neurotensin	35
Cdh13	35
SETD1B	35
transferrin	35
SynGAP	35
RPL10	35
NRXN2	35
SRF	35
SLC6A1	35
DBH	35
TH	34
Mthfr	34
TGF-beta1	34
miR-137	34
PACAP	34
IgA	34
Nlgn4	34
caspase-3	34
dACC	34
TRIO	34
all 3	34
Engrailed-2	34
Npas4	34
mechanistic target of rapamycin	34
nAChR	34
IGF1	34
GSTM1	34
ASH1L	34
Gabrb3	34
DNMT3A	33
CaMKII	33
MABC-2	33
GABRG3	33
SETD2	33
ProSAP2	33
ASTN2	33
C-reactive protein	33
DRD3	33
Magel2	33
GluR6	33
T-bet	33
STX1A	32
PUFA	32
nNOS	32
dFMRP	32
GABRA4	32
zonulin	32
SLC9A6	32
Epac2	32
Nav1.2	32
Arc	32
Emx1	32
Nav1.1	32
Ehmt1	32
HDAC4	31
growth hormone	31
rCBF	31
CHR	31
NCAM	31
CTTNBP2	31
RAB39B	31
Cul3	31
CC2D1A	31
EEF1A2	31
5-HT2A	31
BAF	31
NoGo	31
Cc2d1a	30
CUL3	30
Slc6a4	30
ERbeta	30
mGluRs	30
inv	30
c-fos	30
hip	30
TIM-3	30
Helios	30
Wnt	30
Kir4.1	30
PPP2R5D	30
GAD65	30
TLR3	30
GluK2	30
EZH2	30
neuroligin-1	30
dup15q	29
shank3	29
KIRREL3	29
Neurobeachin	29
Brain-derived neurotrophic factor	29
DEAF1	29
MBD1	29
AHI1	29
BCKDK	29
GRM7	29
DCD	29
GTF2I	29
NCAM1	29
progranulin	29
SNRPN	29
AChE	29
GSTT1	28
PV	28
WWOX	28
HERC2	28
calretinin	28
SNAP25	28
PON1	28
Fos	28
GRIK2	28
AVPR1a	28
neuroligin 3	28
DPP6	28
CHL1	28
Dock4	28
SLC9A9	28
calbindin	28
CARS2	28
Scn2a	27
Pax6	27
ARHGEF9	27
NeuN	27
EIF4E	27
Serotonin transporter	27
Cdk5	27
Adnp	27
TNF	27
cortactin	27
FAN1	27
Shh	27
YWHAE	27
SRY	27
PKA	27
Ptchd1	27
insulin-like growth factor-1	27
KIR	27
somatostatin	27
STEP	27
NR2F1	27
Pcdh10	27
IL-18	26
PEP-3	26
eta2	26
CTD	26
ankyrin-G	26
ceruloplasmin	26
IRSp53	26
5-HT2A receptor	26
NOS1AP	26
C4B	26
SETD5	26
NRG3	26
GPR37	26
CB1	26
FGF22	26
talk	26
autism susceptibility candidate 2	26
CACNA1A	26
apps	26
SOD2	26
ATRX	26
contactin-associated protein-like 2	26
ASL	26
Tph2	26
tPA	25
Prickle2	25
MAO A	25
CTNND2	25
A2BP1	25
GRPR	25
GABA receptor	25
KMT2E	25
Nrp2	25
TRIP12	25
NEGR1	25
KIF1A	25
miR-146a	25
Vasopressin	25
Leptin	25
IL-22	25
androgen receptor	25
LRFN5	25
TGF-beta	25
GST	25
NLRP3	25
V1aR	25
CRH	25
SNARE	25
KCTD13	24
TRX	24
KMT2C	24
Raf	24
AFF2	24
RBM8a	24
Se	24
B12	24
Nf1	24
neuroligin-2	24
Sri	24
Neuroligin-3	24
IFNgamma	24
Hoxa1	24
glial fibrillary acidic protein	24
MCPH1	24
TRPM2	24
TRPV1	24
FXR2P	24
COX-2	24
LRRC4	24
phosphatase and tensin homolog	24
ASD/ID	24
Cadm1	24
TSPO	23
ZBTB20	23
NAA10	23
neurexin 1	23
IL-21	23
ADAM10	23
Top3beta	23
MAP2	23
HLA-DRB1	23
Sema3F	23
SLC6A3	23
MACROD2	23
Cntn4	23
BCL11A	23
beta2	23
ADI-R	23
Itgb3	23
Slack	23
GRIN1	23
CNR1	23
OVA	23
LIF	23
GJB2	23
CTNNB1	23
Ube3A	23
acetylcholinesterase	23
vasoactive intestinal peptide	23
TAOK2	23
p53	23
PAK2	23
PAFAH1B1	23
NIPBL	23
neurexin-1	23
NSE	23
ART	23
EBF3	22
Talk	22
Dhcr7	22
AUTS1	22
Sarm1	22
MAOB	22
FAAH	22
neurotrophin	22
IL-23	22
HLA-B	22
GGC	22
WDR45	22
DCX	22
Kv4.2	22
GP	22
monoamine oxidase A	22
Gadd45b	22
GAT-1	22
ESR1	22
5-HT1B	22
CCR5	22
SPRY3	22
Glo1	22
TPH1	22
NLGN2	22
CNTNAP4	22
DPYD	22
DAT1	22
MUPP1	22
IL-9	22
DOCK4	22
TERT	22
mTORC2	22
DIA1	22
eEF2K	22
IL-1	22
synaptophysin	22
GluN1	22
NDE1	21
AAC	21
Dyrk1a	21
CRMP4	21
TRAPPC9	21
Mov10	21
Arx	21
GABRB1	21
SALM5	21
KMT2A	21
HLA	21
Cntn5	21
mGluR1/5	21
Ahi1	21
APA	21
AMPAR	21
EGFR	21
SSADH	21
FM	21
BCAA	21
GABRA5	21
integrin beta3	21
RANTES	21
neurokinin A	21
Chat	21
SMC1A	21
LIS1	21
DDX3X	21
CYFIP2	21
SOX2	20
neurofibromin	20
PIF	20
HTR2C	20
NLGN4Y	20
ABCX	20
Ambra1	20
AGAT	20
VIPR2	20
adrenocorticotropic hormone	20
CTCF	20
NLG1	20
GRP	20
AGO1	20
AC5	20
CAR	20
VEGF-A	20
DS1	20
TLR-4	20
DAB1	20
MBOAT7	20
Brg1	20
Oprm1	20
HNRNPH2	20
Reln	20
AMPK	19
p38 MAPK	19
CA2	19
DLG4	19
nerve growth factor	19
EN-2	19
CCL2	19
MARK1	19
RAC1	19
interferon-gamma	19
IL-17a	19
CDK5	19
Grin2b	19
IL-16	19
MSNP1	19
SCN3A	19
nlg-1	19
HOXB1	19
PRICKLE2	19
CAT	19
Neurofibromatosis type 1	19
Caps2	19
GLT1	19
Cntn6	19
SHBG	19
DLGAP2	19
CACNA1H	19
GAD	19
Pax2	19
aromatase	18
cyclin-dependent kinase-like 5	18
GBA1	18
PVALB	18
RBP	18
IRR	18
brain derived neurotrophic factor	18
beta-endorphin	18
A3AR	18
iNOS	18
CRBN	18
OW/OB	18
DNMT1	18
neurotrophin-3	18
EFMR	18
insulin-like growth factor 1	18
MYT1L	18
QPRT	18
IL-13	18
corticotropin-releasing hormone	18
ErbB4	18
APBA2	18
DIP2A	18
DLX5	18
Dlx	18
Chrna7	18
Kctd13	18
NRCAM	18
MIR137	18
TMLHE	17
SLI	17
Erk	17
Cav2.1	17
UGT1A1	17
p75NTR	17
adenylosuccinate lyase	17
CEP290	17
Clstn2	17
CXCR4	17
Activity-dependent neuroprotective protein	17
tryptophan hydroxylase 2	17
p38alpha	17
Cux2	17
GPHN	17
GPR85	17
AS1	17
DRB1	17
Shank3b	17
KCNJ10	17
SynCAM1	17
Lag 1	17
spp	17
5-HT transporter	17
5-HT1A receptor	17
folate receptor alpha	17
KANK1	17
DRD1	17
methyl CpG binding protein 2	17
BACE1	17
EPO	17
AKT3	17
SNORD116	17
Ash1l	17
Caspr4	17
Disc1	17
VAMP2	17
MED13L	17
sAA	17
Fmrp	17
PLD1	16
Foxg1	16
VGAT	16
FUS	16
TOM	16
Wdfy3	16
STK39	16
AAT	16
PND	16
PMAT	16
PHF21A	16
GABRB2	16
RARbeta	16
GCPII	16
Setd5	16
RS1	16
interleukin-1beta	16
BP5	16
Gp1	16
hDAT	16
Tbx1	16
MEK	16
Brinp1	16
DLG2	16
HO-1	16
methylenetetrahydrofolate reductase	16
Nlg1	16
IL6	16
MVP	16
PTPRD	16
SOX5	16
FoxP1	16
CX3CR1	16
APC	16
DIR	16
STIP1	16
EP	16
GRIA3	16
JMJD1C	16
CGRP	16
NOX2	16
Rap	16
CAPN5	16
SOD1	16
MAO-A	16
alpha-2	16
ProSAP1	16
methyl CpG-binding protein 2	16
PTP1B	16
DICER1	16
ATP2B2	16
Nxph1	16
Mbp	16
miR-132	16
Cdc42	16
CAMDI	16
GABAA	16
RBS	15
vascular endothelial growth factor	15
Sonic hedgehog	15
GATA3	15
KLHL17	15
GABBR2	15
doublecortin	15
N-cadherin	15
CDH11	15
TSHZ3	15
PER2	15
IL-1RA	15
LQT8	15
NaV1.1	15
NMDA receptor	15
CIC	15
LIMK1	15
ERalpha	15
BKCa	15
ERK1	15
Neuroligin 3	15
NAP	15
NIPA1	15
5HT2A receptor	15
EDA	15
A2AR	15
BP4	15
VDBP	15
SMA	15
GLRA2	15
PRODH	15
PDE2A	15
STAT1	15
PAI-1	15
DLG1	15
GRIA2	15
TOP1	15
IL-5	15
VLDLR	15
MSNP1AS	15
TAC1	15
MIG-6	15
Swi6	15
MPO	15
dopamine D2 receptor	15
MAPK3	15
RNA-binding protein	15
GAP43	15
I-FABP	15
SPX	15
USP6	15
MDGA2	15
hepatocyte growth factor	15
14-3-3zeta	15
DBI	15
VGF	15
Spred1	15
KMT5B	15
Src	15
MED13	15
Nrxn1	15
Sry	15
BP3	15
En1	15
NTRK2	15
cathepsin D	15
NRP2	15
LAT1	15
TOP2B	15
Synj	14
Bax	14
LC3	14
VCP	14
Drd2	14
GLAST	14
HUWE1	14
LBP	14
LAT	14
Upf3b	14
PGRN	14
mGluR7	14
Crmp4	14
FAST	14
MTNR1A	14
Mbd1	14
DISC2	14
SNCA	14
ACC	14
P-Rex1	14
fibroblast growth factor 22	14
glucocorticoid receptor	14
IAP	14
Negr1	14
SIN3A	14
shank3b	14
ANK2	14
epidermal growth factor	14
CBT	14
PMCA2	14
PRKCB1	14
POLG	14
vitamin D receptor	14
GABRG2	14
FXR1	14
actin	14
NPAS1	14
HNRNPU	14
RICH2	14
NR2B	14
Rap1	14
tumor necrosis factor alpha	14
Sert	14
OTC	14
Carr	14
BMP	14
GDNF	14
TUBGCP5	14
Camk2a	14
4E-BP2	14
NF	14
mPFC	14
5HTT	14
MAPT	14
Zac1	14
CXCR1	14
Actinfilin	14
miR-197	14
TDT	14
SLC1A1	14
GABAAR	14
hub	14
GCL	14
SHOX	14
TCF7L2	14
NIPA2	14
Iba1	14
Sema5A	13
DLX2	13
Homer1	13
RYR2	13
chromodomain helicase DNA-binding protein 8	13
ZIP12	13
MEIS2	13
SETDB1	13
CACNB2	13
CSMD3	13
Numb	13
Sept5	13
St8sia2	13
PML	13
NPY	13
FGR	13
JAK2	13
GEF1	13
cyclooxygenase-2	13
MPS IIIB	13
CAST	13
DIXDC1	13
Esr1	13
ZNF711	13
neuropeptide Y	13
DIA1R	13
PTPRG	13
Kmt5b	13
ATP10A	13
TLR2	13
PR	13
MOG	13
Vldlr	13
AMPARs	13
MAF	13
dopamine D1 receptor	13
Atp8a1	13
C9orf72	13
SH2B1	13
PDE10A	13
DPPIV	13
ZNF462	13
PKD1	13
EP300	13
ACE	13
Drd1	13
Dlgap2	13
Neph2	13
MIP-1alpha	13
AnkB	13
POMC	13
FMR2	13
RORalpha	13
PS1	13
GluR2	13
NR2A	13
CAM	13
IL-1alpha	13
Satb2	13
NPSR	13
Ca2+-dependent activator protein for secretion 2	13
MED12	13
Neurexin	13
Cux1	13
Notch	13
glutathione S-transferase	13
Prolactin	13
MDGA1	13
GEF	13
GM-CSF	13
HTT	13
Phosphatase and tensin homolog	13
NPAS3	13
neurobeachin	13
LEP	13
CRTR	13
Kir2.1	13
extracellular signal-regulated kinase	13
Rheb1	13
EGR2	13
Cyfip2	13
GRM8	13
CSDE1	13
interleukin-17A	13
miR-27b	13
CTNNA3	13
DGCR8	13
SMARCA2	13
Sema5a	13
ITGA4	13
Reeler	13
Nkx2.1	12
Ankrd11	12
ABCB1	12
neuroligin3	12
RLIM	12
CB	12
SLC18A1	12
superoxide dismutase	12
insulin receptor	12
TSC1/2	12
ALDH5A1	12
JAK1	12
Brain-Derived Neurotrophic Factor	12
PPAR-alpha	12
TAF1	12
CD-1	12
ERK2	12
CDH8	12
NOS1	12
SAP97	12
GRIN2D	12
ALDH1A1	12
FGFR2	12
GH	12
HDAC2	12
NKA	12
Fragile X mental retardation 1	12
Dnmt1	12
ZnT3	12
CART	12
MTRR	12
PTPRZ	12
FoxP2	12
uPA	12
HSP70	12
osteopontin	12
Autism susceptibility candidate 2	12
CACNA1E	12
CCK	12
alpha-MSH	12
Crm1	12
SLC1A2	12
p140Cap	12
GPER	12
Brinp3	12
Nrp1	12
Pam	12
TRE17	12
GATA-3	12
SLC35A3	12
DAGLalpha	12
SULT1A1	12
Tao	12
Plaur	12
Tbr2	12
HT7	12
Cdh11	12
5HTTLPR	12
NALCN	12
HTR4	12
GPR155	12
PAC1	12
BOLA2	12
guanidinoacetate methyltransferase	12
Hdac2	12
Slc9a9	12
gastrin-releasing peptide	12
estrogen receptor	12
TrkC	12
Met4	12
IL-27	12
KMT2D	12
Dgcr8	12
PHF8	12
CNTNAP5	12
necdin	12
IgSF9	12
AS	12
Bob	12
ABR	12
Stat3	12
HMGN1	12
ATM	12
IGF-I	12
GATAD2B	12
SCGN	12
Pogz	12
BAZ2B	12
SGI	12
neuroligin 2	12
ENGRAILED 2	12
TSP-1	11
auts2	11
GluR1	11
RHOA	11
ubiquitin	11
PLAUR	11
albumin	11
WASF1	11
amyloid precursor protein	11
Arrb2	11
Methyl-CpG binding protein 2	11
engrailed-2	11
mTor	11
FMR4	11
WDFY3	11
Neuroligin 1	11
PCNA	11
DENR	11
dMRI	11
Crh	11
Dlg2	11
Lrfn2	11
TENM4	11
CNTF	11
RALDH1	11
Rheb	11
CAMK4	11
p70S6K	11
Eotaxin	11
GALNT2	11
AGE	11
A20	11
SEZ6L2	11
SYTL4	11
Csk	11
PRACTICE	11
ZNF292	11
Kcnb1	11
TARC	11
alpha7-nAChR	11
DEPDC5	11
Ephexin5	11
hot	11
MOCOS	11
ADA2	11
MAO B	11
had	11
Nav1.8	11
AP	11
SCN9A	11
MTG	11
CNTN5	11
PPARgamma	11
receptor	11
CBP	11
PCB	11
DHEA-S	11
Cx43	11
FOXF1	11
cat	11
TFR1	11
Stxbp1	11
VPAC2 receptor	11
RIOK3	11
Brinp2	11
Mammalian target of rapamycin	11
EHMT2	11
C3aR	11
Ca(V)1.2	11
Fetuin-A	11
ADH	11
Wave 1	11
DUSP15	11
PTCHD1-AS	11
dnlg2	11
p110beta	11
Neuroligin3	11
Avp	11
Nlgn1	11
mecp2	11
Nlgn2	11
Syn	11
neuroserpin	11
DTNBP1	11
CaV1.3	11
USP7	11
MEF2A	11
IGF-2	11
HPL	11
PDGFR-beta	11
PRKAR1B	11
Mnb	11
myelin-associated glycoprotein	11
CYP3A4	11
Tg1	11
ACLY	11
SK3	11
HIF-1alpha	11
ZNF407	11
aPR	11
ATP13A4	11
YY1	11
CNOT1	11
Bmal1	11
SLC16A1	11
Dlx1	11
MLC1	11
FOXP3	11
HDAC	11
SLC13A5	11
NRF1	11
PCC	11
ZNF277	11
DQ2	11
Cox	11
DPP IV	11
DQB1	10
Rab11fip5	10
SIN3B	10
All 3	10
HERC1	10
FOLR1	10
Gpc4	10
NGL-1	10
Fragile X Mental Retardation 1	10
SMARCB1	10
Vamp1	10
TGFbeta	10
STUB1	10
AhR	10
VHL	10
Wnt2	10
KATNAL2	10
matrix metalloproteinase-9	10
SUPT16H	10
RSN	10
pERK	10
phosphoinositide 3-kinase	10
Abl2	10
CPEB	10
MSN	10
glyoxalase 1	10
Dnmt3a	10
DGKdelta	10
MT-II	10
ARID2	10
PKCbeta	10
FXR1P	10
CAPG	10
PTCHD3	10
CaV 1.3	10
myosin-1d	10
TPO	10
Cav 1.3	10
ATP1A3	10
ITIH3	10
RIT2	10
VIII	10
Oxytocin receptor	10
Lin-7B	10
NAA15	10
ADA	10
CLCN4	10
IGFBP3	10
mESR1	10
SrGAP3	10
TET1	10
synapsin I	10
beta-Catenin	10
Grin1	10
Hoxb8	10
fam57ba	10
SYN2	10
FFR	10
FABP3	10
Fabp3	10
ACTL6B	10
VPS13B	10
PID	10
Ca2	10
ATP10C	10
ERIC	10
ADRA2A	10
Insulin	10
Ca(v)1.2	10
Dscam	10
metabotropic glutamate receptor	10
SV2A	10
LXRbeta	10
LGI1	10
methionine synthase	10
alpha2	10
IDS	10
reeler	10
Neurexin 1	10
TLK2	10
EFR3A	10
ODD/CD	10
Flr	10
JARID2	10
alpha-syn	10
WNK3	10
S6K	10
KDM5A	10
WHSC1	10
DNlg3	10
Pcp2	10
OPHN1	10
SATB2	10
PTPsigma	10
KDM4C	10
gabrb3	10
NDN	10
SynI	10
FAT1	10
Ranbp1	10
IL-37	10
GABRA1	10
Neurofibromatosis Type 1	10
5-HT2cR	10
Rictor	10
miR-184	10
neuroplastin	10
CXCR5	10
Contactin-associated protein-like 2	10
interleukin (IL)-1beta	10
CMIP	10
miR146a	10
RGMa	10
IRF3	10
DPP10	10
PLXNA3	10
IL-15	10
CD11b	10
AGMO	10
Chd7	10
LAMB1	10
SPPL2a	10
CYP27B1	10
cacna1c	10
p21	10
MOR	10
PAICS	10
BST1	10
miR-484	10
striatin	10
NeuroD2	10
SLC12A5	10
ITSN1	10
EPHB2	10
contactin 4	9
DRA	9
CRMP2	9
Arc/Arg3.1	9
dup(15q	9
PQBP1	9
TFB2M	9
AGAP1	9
Cav3.2	9
FABP7	9
ELA	9
PEPS	9
connexin 43	9
She	9
fog	9
CLN8	9
Cx3cr1	9
MEST	9
FAM120C	9
LPC	9
SMO	9
POMGnT1	9
CARS-2	9
Neurotensin	9
Fox-1	9
SCN	9
HDAC1	9
Hfe	9
ALDH1A3	9
activity-dependent neuroprotective protein	9
NRF-1	9
MARK	9
KV2.1	9
MEG3	9
Fgf-2	9
nrx-1	9
PAC1R	9
alpha2delta3	9
MTNR1B	9
Disrupted in schizophrenia 1	9
IP-10	9
CDH9	9
CDKN1B	9
eNOS	9
IL-33	9
UPD	9
Grip1/2	9
transcription factor 4	9
interleukin-10	9
Ube3	9
interleukin (IL)-6	9
IgG3	9
DIAPH3	9
NCOR1	9
TMX2	9
DSCAML1	9
NSD1	9
Ankyrin-G	9
DMPK	9
CDK19	9
H3R	9
GIGYF2	9
Ash1L	9
beta2-adrenergic receptor	9
PRICKLE1	9
SZT2	9
PKD/IC	9
Dixdc1	9
PIK3CA	9
Chd2	9
Synaptojanin	9
NPTX2	9
alpha7 nicotinic acetylcholine receptor	9
Eif4ebp2	9
dADSL	9
CRS	9
SIPA1L1	9
LRRC4C	9
ARNT2	9
FA2H	9
TNRC6B	9
SPAK	9
vigilin	9
CYP2C19	9
neurexin	9
Ctnnd2	9
Capn15	9
Syn1	9
MNS	9
MT3	9
RARalpha	9
FGF-2	9
SCF	9
shank	9
FRAXE	9
MCTS1	9
CNTN1	9
ETS1	9
QRICH1	9
CHOP	9
Slc7a5	9
PHIP	9
alpha-fetoprotein	9
Bcl2	9
apolipoprotein E	9
CRT	9
5-HT(3A	9
hGluN2B	9
FBRSL1	9
dopamine D4 receptor	9
PDZK1	9
14-3-3epsilon	9
PSG	9
DLX1	9
NFIB	9
SMAD4	9
MKL2	9
UPF1	9
miR-153	9
KDM5B	9
ATL1	9
NOMA-GAP	9
Pet-1	9
ATR	9
RAGE	9
SIK1	9
Igsf9b	9
metabotropic glutamate receptor 7	9
MIP-1beta	9
GNE	9
PIGG	9
AMBRA1	9
arginine vasopressin receptor 1A	9
ACE2	9
CSNK2A1	9
EPAC2	9
interleukin 6	9
COI	9
Mbd5	9
IL-38	9
MCH	9
ApoE4	9
WIPI2	9
Taok2	9
HRI	9
neuroligin 1	9
Pak1	9
Dicer	9
GLP-1	9
TTR	9
SMARCA4	9
DSCR1	9
PKC	9
cyclin-dependent kinase 5	9
FAK	9
GPR56	9
VPAC2	9
hOXTR	9
CRK	9
CHD1	9
moesin	9
FOXK1	9
MAPK	9
Ninj1	9
Clk2	9
beta-arrestin2	9
ELMO3	9
LSD1	9
Dysbindin	9
LSS	9
M6a	9
NCKAP1	9
IRAK1	9
L1CAM	9
SUSD4	9
ODC1	9
Dalpha7	9
nodal	9
cFos	9
P2rx7	9
ATXN1	9
LaT	9
AGC1	9
beta-synuclein	9
BMAL1	8
Synapsin I	8
SorCS1	8
face	8
TRalpha	8
Rbfox3	8
p11	8
ACSF3	8
Tuberin	8
MNK1/2	8
doc2a	8
phosphatidylinositol 3-kinase	8
IL1B	8
cadherin	8
HTR1A	8
gabra2	8
miR	8
CLOCK	8
PITX1	8
ET	8
NL-3	8
NOS2	8
DLX6	8
erythropoietin	8
Neurod2	8
a beta	8
ELP4	8
KARS1	8
MK	8
collybistin	8
CTTNBP2NL	8
Cxcr4	8
Zonulin	8
sortilin	8
CYP46A1	8
PRX	8
ARNT	8
Cdh8	8
NRSF	8
e4-9	8
TMPRSS2	8
miR-873	8
Ob	8
GABBR1	8
RBP4	8
ABAT	8
SAPAP3	8
5-HT(1A	8
PINK1	8
Ulk4	8
GPR35	8
FRAXA	8
Dact1	8
sonic hedgehog	8
chd8	8
FE	8
rCPS	8
Ngn2	8
secretin receptor	8
RNF8	8
ran	8
gonadotropin-releasing hormone	8
ROBO3	8
InR	8
Cbl	8
TRPC6	8
SLC29A4	8
OGT	8
KDM2B	8
SANS	8
biotinidase	8
SLC12A6	8
EXT1	8
SA	8
TP53	8
CYP19A1	8
CXCL8	8
FGA	8
CD103	8
KCND2	8
XPO1	8
NCL	8
phospholipase A2	8
miR-980	8
hTF	8
estrogen receptor alpha	8
HRAS	8
mao	8
FKBP5	8
OGG1	8
Er81	8
HYDIN2	8
AFP	8
hGluN1	8
TSGA14	8
COPG2	8
USP8	8
GPx1	8
USP9X	8
HNMT	8
dFMR1	8
FEVR	8
SYNCRIP	8
HGF/SF	8
SK2	8
FLNA	8
bFGF	8
MODY5	8
cPLA2	8
Guanidinoacetate methyltransferase	8
BCL10	8
GATM	8
PIWIL1	8
GABRA2	8
cofilin1	8
LOC101928237	8
D3R	8
Neurexin-1	8
SRB	8
GABRD	8
CYP21A2	8
SNORD115	8
nArgBP2	8
COX2	8
BRINP1	8
KCNJ11	8
IgG1	8
NR1	8
E2F1	8
AP1	8
mis	8
TAOK1	8
SRS	8
ANC-1	8
CAPE	8
PSD93	8
ephrin-B3	8
PRKAG2	8
RIM3	8
SSTR5	8
KCTD10	8
myeloperoxidase	8
apelin	8
ICAM5	8
ErbB	8
SPCH1	8
ELMOD3	8
CRKL	8
Kv 7.2	8
MPP5	8
RPGRIP1L	8
Nr1d1	8
OXT receptor	8
DCC	8
IL-17 A	8
TOR	8
DARPP-32	8
CRT1	8
TGF-beta2	8
Interleukin-6	8
tamalin	8
DOCK8	8
Vps13b	8
BCAT2	8
VGLUT1	8
she	8
BRSK2	8
TANC2	8
Celf6	8
Serotonin Transporter	8
HFE	8
DLL1	8
VDAC-1	8
MIA	8
STX1	8
ob	8
Dab-1	8
LASP2	8
Notch1	8
UBE3B	8
lox	8
TLR7	8
DM1	8
